s0,s10,s90,s90d,red_flag
67,24,16,0,0
37,30,6,0,0
99,86,104,17,0
90,57,85,13,0
42,30,5,1,0
111,89,99,11,0
69,60,53,6,0
103,73,114,4,0
88,48,29,1,0
109,78,109,14,0
98,63,98,12,0
100,65,102,10,0
80,63,58,7,0
103,84,123,12,0
86,47,19,0,0
100,73,98,7,0
94,82,96,12,0
103,75,84,6,0
35,35,6,0,0
92,90,127,23,0
48,34,19,0,0
102,71,79,10,0
16,18,2,0,0
92,70,77,9,0
104,80,89,14,0
98,64,91,7,0
116,93,92,11,0
97,77,121,27,0
101,79,106,24,0
80,69,71,13,0
99,69,63,5,0
34,16,9,7,0
90,75,74,10,0
96,95,129,14,0
93,62,84,9,0
15,99,90,53,1
37,31,12,5,0
106,73,144,26,0
107,76,78,12,0
107,69,108,11,0
83,68,54,7,0
105,76,94,15,0
90,61,74,4,0
43,31,16,0,0
111,76,93,17,0
31,25,8,1,0
108,74,105,11,0
83,58,68,13,0
115,78,119,19,0
100,81,121,19,0
104,73,88,17,0
47,33,7,0,0
95,82,54,10,0
44,34,6,0,0
85,65,96,7,0
101,74,105,23,0
27,25,5,0,0
82,63,65,9,0
96,63,91,8,0
94,59,111,17,0
55,32,18,3,0
90,70,111,20,0
106,67,81,10,0
96,85,90,22,0
89,68,60,4,0
100,70,89,13,0
92,62,87,9,0
59,40,9,5,0
96,73,91,18,0
89,63,64,2,0
111,80,113,18,0
120,53,116,18,0
80,38,16,2,0
114,99,98,14,0
100,67,19,0,0
102,77,73,6,0
52,27,6,2,0
123,88,167,15,0
111,70,123,15,0
49,44,11,0,0
107,74,121,24,0
85,39,15,0,0
92,69,67,4,0
83,83,103,15,0
86,63,92,7,0
104,69,72,13,0
88,39,16,0,0
99,75,97,20,0
92,71,90,6,0
18,4,23,2,0
88,67,78,9,0
83,65,65,12,0
111,84,130,22,0
115,77,120,19,0
111,68,111,15,0
99,70,101,16,0
100,78,113,28,0
85,64,72,15,0
39,31,14,0,0
49,31,11,2,0
94,71,91,17,0
101,86,81,22,0
23,16,42,7,0
117,75,90,9,0
101,79,129,22,0
38,26,16,2,0
102,70,102,15,0
106,76,87,8,0
102,83,78,19,0
82,63,60,8,0
45,23,19,0,0
29,23,4,1,0
80,64,48,7,0
99,65,67,3,0
114,86,102,7,0
19,22,1,2,0
14,13,0,1,0
109,69,87,13,0
95,71,64,4,0
35,24,14,4,0
96,72,73,7,0
87,73,57,3,0
109,77,117,22,0
86,61,56,5,0
111,77,92,26,0
112,75,119,16,0
103,71,116,13,0
104,68,127,21,0
100,65,98,7,0
114,80,100,22,0
102,77,107,20,0
97,67,82,13,0
92,68,72,9,0
47,45,7,4,0
39,35,11,0,0
52,36,17,1,0
93,61,64,9,0
76,73,93,7,0
77,61,52,6,0
84,69,70,3,0
107,78,106,14,0
84,66,55,6,0
43,36,9,2,0
97,79,101,10,0
104,74,131,22,0
104,83,84,19,0
89,64,71,5,0
45,36,7,0,0
94,43,33,5,0
43,30,12,1,0
46,32,8,0,0
82,70,74,11,0
46,35,15,1,0
110,101,80,11,0
112,80,124,26,0
36,26,3,0,0
102,83,110,20,0
122,72,106,21,0
94,55,81,6,0
94,70,85,6,0
111,73,120,32,0
35,31,7,2,0
86,74,71,7,0
127,79,126,32,0
124,113,133,10,0
48,39,19,3,0
51,29,11,3,0
93,60,89,13,0
64,28,14,3,0
40,26,14,1,0
99,62,84,9,0
41,36,8,2,0
134,83,169,37,1
15,18,1,0,0
93,71,69,7,0
96,62,88,6,0
142,75,113,14,0
118,81,161,28,0
96,86,104,12,0
85,39,10,0,0
90,79,65,10,0
103,72,82,9,0
95,69,78,8,0
86,74,79,6,0
36,32,11,0,0
48,35,12,0,0
94,62,66,10,0
98,59,60,18,0
41,25,13,1,0
112,85,102,16,0
103,89,83,17,0
41,32,8,1,0
87,64,74,11,0
97,46,23,2,0
94,57,76,12,0
22,5,14,0,0
88,69,66,8,0
91,68,99,21,0
